Time,Beijing,Shanghai,Shenyang
2014-01-01 1:00,53,136,16
2014-01-01 2:00,65,173,18
2014-01-01 3:00,70,166,28
2014-01-01 4:00,79,157,31
2014-01-01 5:00,92,157,21
2014-01-01 6:00,106,147,31
2014-01-01 7:00,75,154,31
2014-01-01 8:00,58,142,36
2014-01-01 9:00,33,137,40
2014-01-01 10:00,51,138,72
2014-01-01 11:00,32,121,78
2014-01-01 12:00,23,100,104
2014-01-01 13:00,28,81,33
2014-01-01 14:00,23,75,14
2014-01-01 15:00,24,78,27
2014-01-01 16:00,26,71,19
2014-01-01 17:00,26,79,31
2014-01-01 18:00,27,84,28
2014-01-01 19:00,43,100,28
2014-01-01 20:00,62,106,33
2014-01-01 21:00,70,142,32
2014-01-01 22:00,81,163,32
2014-01-01 23:00,111,171,24
2014-01-02 0:00,144,163,23
2014-01-02 1:00,170,174,21
2014-01-02 2:00,174,182,23
2014-01-02 3:00,174,160,26
2014-01-02 4:00,172,132,27
2014-01-02 5:00,149,116,27
2014-01-02 6:00,166,114,32
2014-01-02 7:00,187,99,43
2014-01-02 8:00,107,95,
2014-01-02 9:00,114,77,108
2014-01-02 10:00,108,81,69
2014-01-02 11:00,102,101,66
2014-01-02 12:00,95,88,39
2014-01-02 13:00,127,63,35
2014-01-02 14:00,125,,48
2014-01-02 15:00,128,33,68
2014-01-02 16:00,146,44,51
2014-01-02 17:00,165,73,66
2014-01-02 18:00,173,66,53
2014-01-02 19:00,195,71,44
2014-01-02 20:00,239,75,44
2014-01-02 21:00,232,76,48
2014-01-02 22:00,242,74,67
2014-01-02 23:00,269,68,76
2014-01-03 0:00,264,70,97
2014-01-03 1:00,220,71,69
2014-01-03 2:00,146,68,51
2014-01-03 3:00,34,77,55
2014-01-03 4:00,34,76,41
2014-01-03 5:00,35,76,29
2014-01-03 6:00,45,92,32
2014-01-03 7:00,43,105,32
2014-01-03 8:00,43,107,33
2014-01-03 9:00,36,124,23
2014-01-03 10:00,36,153,24
2014-01-03 11:00,23,158,24
2014-01-03 12:00,25,149,35
2014-01-03 13:00,29,164,30
2014-01-03 14:00,26,123,37
2014-01-03 15:00,21,95,45
2014-01-03 16:00,25,97,40
2014-01-03 17:00,31,110,61
2014-01-03 18:00,43,139,58
2014-01-03 19:00,46,150,63
2014-01-03 20:00,50,161,49
2014-01-03 21:00,68,190,60
2014-01-03 22:00,60,212,47
2014-01-03 23:00,103,225,65
2014-01-04 0:00,85,196,64
2014-01-04 1:00,86,208,57
2014-01-04 2:00,89,229,64
2014-01-04 3:00,77,251,112
2014-01-04 4:00,77,209,119
2014-01-04 5:00,75,189,190
2014-01-04 6:00,80,170,231
2014-01-04 7:00,86,110,174
2014-01-04 8:00,95,86,188
2014-01-04 9:00,101,80,236
2014-01-04 10:00,132,103,253
2014-01-04 11:00,153,98,279
2014-01-04 12:00,173,71,222
2014-01-04 13:00,178,68,133
2014-01-04 14:00,176,80,63
2014-01-04 15:00,209,77,66
2014-01-04 16:00,219,59,57
2014-01-04 17:00,224,61,41
2014-01-04 18:00,212,55,47
2014-01-04 19:00,221,47,84
2014-01-04 20:00,221,34,96
2014-01-04 21:00,217,28,103
2014-01-04 22:00,203,33,123
2014-01-04 23:00,221,21,148
2014-01-05 0:00,192,27,186
2014-01-05 1:00,183,29,173
2014-01-05 2:00,175,23,154
2014-01-05 3:00,177,32,149
2014-01-05 4:00,183,30,165
2014-01-05 5:00,155,33,114
2014-01-05 6:00,151,35,93
2014-01-05 7:00,137,37,71
2014-01-05 8:00,109,35,68
2014-01-05 9:00,140,28,68
2014-01-05 10:00,117,37,109
2014-01-05 11:00,128,53,102
2014-01-05 12:00,54,70,74
2014-01-05 13:00,34,91,87
2014-01-05 14:00,32,112,68
2014-01-05 15:00,28,122,56
2014-01-05 16:00,29,105,49
2014-01-05 17:00,37,87,80
2014-01-05 18:00,46,63,85
2014-01-05 19:00,54,44,107
2014-01-05 20:00,53,25,95
2014-01-05 21:00,47,27,113
2014-01-05 22:00,112,27,91
2014-01-05 23:00,125,28,91
2014-01-06 0:00,128,35,113
2014-01-06 1:00,126,26,129
2014-01-06 2:00,153,20,124
2014-01-06 3:00,157,17,155
2014-01-06 4:00,144,20,208
2014-01-06 5:00,138,21,179
2014-01-06 6:00,128,22,226
2014-01-06 7:00,126,19,248
2014-01-06 8:00,126,24,253
2014-01-06 9:00,159,24,251
2014-01-06 10:00,149,21,182
2014-01-06 11:00,123,24,154
2014-01-06 12:00,150,24,129
2014-01-06 13:00,146,24,102
2014-01-06 14:00,145,26,92
2014-01-06 15:00,160,22,87
2014-01-06 16:00,148,23,86
2014-01-06 17:00,156,39,75
2014-01-06 18:00,158,35,73
2014-01-06 19:00,167,37,69
2014-01-06 20:00,171,39,61
2014-01-06 21:00,177,39,51
2014-01-06 22:00,185,36,45
2014-01-06 23:00,201,43,46
2014-01-07 0:00,217,36,42
2014-01-07 1:00,208,42,52
2014-01-07 2:00,204,37,61
2014-01-07 3:00,213,43,57
2014-01-07 4:00,256,38,64
2014-01-07 5:00,211,41,76
2014-01-07 6:00,203,36,90
2014-01-07 7:00,212,39,114
2014-01-07 8:00,205,42,136
2014-01-07 9:00,196,38,130
2014-01-07 10:00,182,39,120
2014-01-07 11:00,124,36,56
2014-01-07 12:00,102,35,33
